Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
mainbody,-2.3726E-06,0.024422,-4.4955E-05,0,0,0,0.31081,0.00021208,1.5623E-09,1.4002E-09,0.00027627,5.5833E-08,0.00013006,0,0,0,0,0,0,package://Ass 1/meshes/mainbody.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Ass 1/meshes/mainbody.STL,,main body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
bigleg1,-0.00593603004602124,-0.00371266124380118,-0.0227354388062131,0,0,0,0.0077756412577186,3.42452671783294E-06,2.09047419934826E-09,1.28015288448736E-08,2.88716179352755E-06,-3.85678009841775E-07,5.88343548175121E-07,0,0,0,0,0,0,package://Ass 1/meshes/bigleg1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ass 1/meshes/bigleg1.STL,,leg 1-1,Origin_bigleg12,Axis_bigleg12,bigleg1,continuous,-0.0633,0.03,0.034,1.1435,0,0,mainbody,1,0,0,,,,,,,,,,,,
smallleg1,-0.0211574529093844,-0.0568139492111246,0.0636827920263946,0,0,0,0.0268340222050022,1.59304666768254E-05,-5.87713304454316E-09,7.15094089048877E-09,9.08764949149615E-06,6.29879914621856E-06,7.66324845924581E-06,0,0,0,0,0,0,package://Ass 1/meshes/smallleg1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ass 1/meshes/smallleg1.STL,,leg 2-1,Origin_smallleg12,Axis_smallleg12,smallleg1,continuous,0,-0.0080582,-0.049346,0.46371,0,0,bigleg1,1,0,0,,,,,,,,,,,,
tire,-0.0127998786276471,-2.56739074444567E-16,1.5855372570428E-14,0,0,0,0.0182536050256655,8.42538899195331E-06,3.26898054208189E-21,8.24022859238445E-21,4.85700908381744E-06,1.48230765769503E-21,4.85700908381745E-06,0,0,0,0,0,0,package://Ass 1/meshes/tire.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ass 1/meshes/tire.STL,,tire-1,Origin_tire3,Axis_tire3,tire,continuous,-0.0207,-0.069889,0.078362,0.9162,0,0,smallleg1,1,0,0,,,,,,,,,,,,
bigleg2,-0.00673551057779109,-0.00267766598095697,0.0132184760765945,0,0,0,0.0104336042175876,3.9627706999722E-06,-2.57524715318403E-09,1.27128787263881E-08,3.12290318636105E-06,4.71826248840826E-07,8.89279368298612E-07,0,0,0,0,0,0,package://Ass 1/meshes/bigleg2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ass 1/meshes/bigleg2.STL,,leg 4-1,Origin_bigleg22,Axis_bigleg22,bigleg2,continuous,-0.0665,-0.03,0.0339999999999999,1.83961174262457,0,0,mainbody,1,0,0,,,,,,,,,,,,
smallleg2,-0.00256417339746258,-0.0349721074842758,-0.0411243573843793,0,0,0,0.0111561368021954,1.36906272520063E-05,6.29989896033431E-09,7.40890095823154E-09,7.88908099750088E-06,-6.25728476190009E-06,5.86794347028647E-06,0,0,0,0,0,0,package://Ass 1/meshes/smallleg2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ass 1/meshes/smallleg2.STL,,leg 3-1,Origin_smallleg22,Axis_smallleg22,smallleg2,continuous,0,-0.0099269,0.049005,-0.39991,0,0,bigleg2,1,0,0,,,,,,,,,,,,
bigleg3,-0.00673551057779109,-0.00267766598095703,0.0132184760765946,0,0,0,0.0104336042175876,3.9627706999722E-06,-2.57524715318402E-09,1.27128787263882E-08,3.12290318636105E-06,4.71826248840826E-07,8.89279368298612E-07,0,0,0,0,0,0,package://Ass 1/meshes/bigleg3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ass 1/meshes/bigleg3.STL,,leg 4-3,Origin_bigleg32,Axis_bigleg32,bigleg3,continuous,0.0665,-0.03,0.034,-2.261,0,3.1416,mainbody,1,0,0,,,,,,,,,,,,
smallleg3,-0.00256417339746262,-0.0349721074842801,-0.0411243573843788,0,0,0,0.0111561368021954,1.36906272520063E-05,6.29989896033295E-09,7.40890095822839E-09,7.88908099750087E-06,-6.25728476190009E-06,5.86794347028645E-06,0,0,0,0,0,0,package://Ass 1/meshes/smallleg3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ass 1/meshes/smallleg3.STL,,leg 3-3,Origin_smallleg32,Axis_smallleg32,smallleg3,continuous,0,-0.0099269,0.049005,2.3015,0,0,bigleg3,1,0,0,,,,,,,,,,,,
bigleg4,-0.00593603004602121,-0.00371266124380117,-0.0227354388062131,0,0,0,0.00777564125771858,3.42452671783293E-06,2.09047419934835E-09,1.28015288448735E-08,2.88716179352755E-06,-3.85678009841773E-07,5.8834354817512E-07,0,0,0,0,0,0,package://Ass 1/meshes/bigleg4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ass 1/meshes/bigleg4.STL,,leg 1-3,Origin_bigleg42,Axis_bigleg42,bigleg4,continuous,0.0633,0.03,0.034,-0.66366,0,-3.1416,mainbody,1,0,0,,,,,,,,,,,,
smallleg4,-0.0211574529093842,-0.0568139492111265,0.0636827920263948,0,0,0,0.0268340222050022,1.59304666768253E-05,-5.87713304452877E-09,7.15094089047282E-09,9.08764949149613E-06,6.29879914621856E-06,7.66324845924581E-06,0,0,0,0,0,0,package://Ass 1/meshes/smallleg4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ass 1/meshes/smallleg4.STL,,leg 2-3,Origin_smallelg42,Axis_smallelg42,smallelg4,continuous,0,-0.0080582,-0.049346,-2.3951,0,0,bigleg4,1,0,0,,,,,,,,,,,,
tire2,-0.0127998786276472,-1.19348975147204E-15,1.68094704822153E-14,0,0,0,0.0182536050256655,8.42538899195332E-06,-1.05629166703312E-21,-2.42773145148815E-20,4.85700908381745E-06,7.39942138497095E-22,4.85700908381745E-06,0,0,0,0,0,0,package://Ass 1/meshes/tire2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ass 1/meshes/tire2.STL,,tire-2,Origin_tire22,Axis_tire22,tire2,continuous,-0.0207,-0.069889,0.078362,-1.6536,0,0,smallleg4,1,0,0,,,,,,,,,,,,
